tweet_id,name,timestamp,dog_stage,dog_breed,rating_ratio,retweet_count,favorite_count,text,jpg_url
892177421306343426,Tilly,2017-08-01 00:17:27,,Chihuahua,1.3,5447.0,30144.0,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg
891815181378084864,Archie,2017-07-31 00:18:03,,Chihuahua,1.2,3589.0,22680.0,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg
891689557279858688,Darla,2017-07-30 15:58:51,,Labrador Retriever,1.3,7481.0,38058.0,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg
891327558926688256,Franklin,2017-07-29 16:00:24,,Basset,1.2,8034.0,36346.0,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg
890971913173991426,Jax,2017-07-28 16:27:12,,Appenzeller,1.3,1738.0,10673.0,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg
890609185150312448,Zoey,2017-07-27 16:25:51,,Irish Terrier,1.3,3740.0,25234.0,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg
890240255349198849,Cassie,2017-07-26 15:59:51,doggo,Pembroke,1.4,6312.0,28774.0,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg
890006608113172480,Koda,2017-07-26 00:31:25,,Samoyed,1.3,6351.0,27775.0,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg
889880896479866881,Bruno,2017-07-25 16:11:53,,French Bulldog,1.3,4313.0,25259.0,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg
889638837579907072,Ted,2017-07-25 00:10:02,,French Bulldog,1.2,3863.0,24365.0,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg
889531135344209921,Stuart,2017-07-24 17:02:04,puppo,Golden Retriever,1.3,1948.0,13726.0,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg
889278841981685760,Oliver,2017-07-24 00:19:32,,Whippet,1.3,4611.0,22754.0,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg
888917238123831296,Jim,2017-07-23 00:22:39,,Golden Retriever,1.2,3876.0,26329.0,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg
888804989199671297,Zeke,2017-07-22 16:56:37,,Golden Retriever,1.3,3669.0,23104.0,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg
888554962724278272,Ralphus,2017-07-22 00:23:06,,Siberian Husky,1.3,2980.0,17822.0,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg
888078434458587136,Gerald,2017-07-20 16:49:33,,French Bulldog,1.2,3004.0,19712.0,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg
887705289381826560,Jeffrey,2017-07-19 16:06:48,,Basset,1.3,4679.0,27388.0,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg
887473957103951883,Canela,2017-07-19 00:47:34,,Pembroke,1.3,15562.0,61972.0,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg
886983233522544640,Maya,2017-07-17 16:17:36,,Chihuahua,1.3,6612.0,31362.0,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in https://t.co/I6oNy0CgiT,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg
886736880519319552,Mingus,2017-07-16 23:58:41,,Kuvasz,1.3,2741.0,10794.0,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff https://t.co/ISvKOSkd5b",https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg
886366144734445568,Roscoe,2017-07-15 23:25:31,pupper,French Bulldog,1.2,2729.0,19087.0,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe https://t.co/RGE08MIJox,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg
886258384151887873,Waffles,2017-07-15 16:17:19,,Pug,1.3,5471.0,25285.0,This is Waffles. His doggles are pupside down. Unsure how to fix. 13/10 someone assist Waffles https://t.co/xZDA9Qsq1O,https://pbs.twimg.com/media/DEyfTG4UMAE4aE9.jpg
885984800019947520,Jimbo,2017-07-14 22:10:11,,Blenheim Spaniel,1.2,5815.0,29433.0,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 12/10 pls pet with caution https://t.co/BuveP0uMF1,https://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg
885528943205470208,Maisey,2017-07-13 15:58:47,,Pug,1.3,5532.0,32500.0,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly https://t.co/tp1kQ8i9JF,https://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg
884925521741709313,Earl,2017-07-12 00:01:00,,Italian Greyhound,1.2,15598.0,69424.0,"This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl https://t.co/MYJvdlNRVa",https://pbs.twimg.com/media/DEfjEaNXkAAtPlj.jpg
884876753390489601,Lola,2017-07-11 20:47:12,,Chow,1.3,4834.0,25129.0,This is Lola. It's her first time outside. Must test the earth and taste the atmosphere. 13/10 you're doing great Lola https://t.co/74TKAUsLkO,https://pbs.twimg.com/media/DEe2tZXXkAAwyX3.jpg
884562892145688576,Kevin,2017-07-11 00:00:02,,Pug,1.3,4057.0,21953.0,This is Kevin. He's just so happy. 13/10 what is your secret Kevin https://t.co/1r4MFCbCX5,https://pbs.twimg.com/media/DEaZQkfXUAEC7qB.jpg
884162670584377345,Yogi,2017-07-09 21:29:42,doggo,German Shepherd,1.2,2590.0,18451.0,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo https://t.co/YSI00BzTBZ,https://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg
883838122936631299,Noah,2017-07-09 00:00:04,,Doberman,1.2,2966.0,19747.0,This is Noah. He can't believe someone made this mess. Got the vacuum out for you though. Offered to help clean pup. 12/10 super good boy https://t.co/V85xujjDDY,https://pbs.twimg.com/media/DEQGFgAXUAAEvfi.jpg
